name	term	lev	seq	value
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g6881	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g7348	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g105248	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g148922	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g145551	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g68057	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g4492	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g52328	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g23988	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g69018	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g7343	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g108997	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g49182	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g42898	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g106234	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g113216	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g63411	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g22406	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g19418	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g84462	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g73289	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g40602	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g10393	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g79614	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g90941	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g58592	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g58593	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g49209	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g36498	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g90461	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g28939	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g38781	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g1150	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g34438	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g66421	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g40377	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g18481	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g79870	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g85172	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g17995	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g49250	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g35418	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g140763	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g93114	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g79184	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g127861	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g35417	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g105659	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g130115	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g32864	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g60386	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g12044	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g67539	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g4228	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g45070	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g22134	0.263851906751876
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g86482	0.58351256271935
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g92938	0.471725674265062
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g81895	0.0343369471733295
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g47808	0.222115636453797
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g1140	0.345991504192172
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g93328	0.147974391048882
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g38873	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g79393	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g131153	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g61568	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g18253	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g38379	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g18275	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g79084	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g123602	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g35248	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g12631	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g56523	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g55468	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g12123	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g28017	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g132149	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g106339	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g53473	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g152356	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g43348	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g130113	0
