id,sign
g55934,0
g1832,0
g150400,0
g15651,0
g78793,0
g49269,0
g44677,0
g43407,0
g81794,0
g52800,0
g72719,0
g97245,0
g131311,0
g92715,0
g124581,0
g155422,0
g82357,0
g101176,0
g124689,0
g61226,0
g73311,0
g108770,0
g96012,0
g72642,0
g99706,0
g127438,0
g52400,0
g143405,0
g87736,0
g51403,0
g89392,0
g125887,0
g108308,0
g105829,0
g70539,0
g11755,0
g69767,0
g91911,0
g156164,0
g86042,0
g17768,0
g108017,0
g124772,0
g67836,0
g87002,0
g122221,0
g55746,0
g41082,0
g95852,0
g117463,0
g158798,0
g116403,0
g108078,0
g120391,0
g93377,0
g118574,0
g24107,0
g116517,0
g117352,0
g132067,0
g150770,0
g121433,0
g107935,0
g101040,0
g82893,0
g70444,0
g36212,0
g100443,0
g73057,0
g143962,0
g96068,0
g104992,0
g134174,0
g72133,0
g83215,0
g71960,0
g66785,0
g110424,0
g123634,0
g26938,0
g31942,0
g119078,0
g140406,0
g92559,0
g135077,0
g83971,0
g106222,0
g90863,0
g72718,0
g138410,0
g146701,0
g83970,0
g63427,0
g77392,0
g79686,0
g1958,0
g62178,0
g101295,0
g60662,0
g90046,0
g106291,0
g90731,0
g113753,0
g122257,0
g7044,0
g69427,0
g54738,0
g14444,0
g100859,0
g94028,0
g65417,0
g52480,0
g27499,0
g39760,0
g123581,0
g55642,0
g14442,0
g29877,0
g6554,0
g121121,0
g14944,0
g43125,0
g11768,0
g77740,0
g89200,0
g116329,0
g73953,0
g7447,0
g91604,0
g17235,0
g94019,0
g85057,0
g131789,0
g112667,0
g9957,0
g125781,0
g14772,0
g136266,0
g68446,0
g120425,0
g129558,0
g21220,0
g129476,0
g107222,0
g8251,0
g82141,0
g25410,0
g99054,0
g31282,0
g59484,0
g80906,0
g69306,0
g78075,0
g135561,0
g53095,0
g124797,0
g49592,0
g45885,0
g29872,0
g46366,0
g122434,0
g38848,0
g35826,0
g112158,0
g51887,0
g106236,0
g48782,0
g88381,0
g131816,0
g116327,0
g79989,0
g39062,0
g109925,0
g44469,0
g38166,0
g87910,0
g7059,0
g126464,0
g18695,0
g86932,0
g114288,0
g145985,0
g109701,0
g74825,0
g120359,0
g13207,0
g14987,0
g61518,0
g70398,0
g90147,0
g77233,0
g17881,0
g52049,0
g86619,0
g72452,0
g100143,0
g39568,0
g68391,0
g82015,0
g51271,0
g26345,0
g54396,0
g127337,0
g5148,0
g69178,0
g66513,0
g85103,0
g87269,0
g121276,0
g86620,0
g119647,0
g47135,0
g136614,0
g106694,0
g69853,0
g11533,0
g59887,0
g64113,0
g80462,0
g154397,0
g141547,0
g146865,0
g43149,0
g116064,0
g87918,0
g54333,0
g11742,0
g73544,0
g86980,0
g40237,0
g45129,0
g120761,0
g27812,0
g6606,0
g39640,0
g42867,0
g73044,0
g90100,0
g21945,0
g92558,0
g133646,0
g73690,0
g18576,0
g112361,0
g24923,0
g58253,0
g89081,0
g17271,0
g11500,0
g79093,0
g24621,0
g2361,0
g13819,0
g150663,0
g45165,0
g38554,0
g12367,0
g38474,0
g31018,0
g56447,0
g90916,0
g33169,0
g98396,0
g110845,0
g89036,0
g38131,0
g59511,0
g80336,0
g747,0
g40527,0
g81062,0
g161212,0
g39069,0
g51977,0
g95449,0
g39063,0
g138894,0
g88695,0
g148427,0
g52197,0
g22275,0
g150666,0
g149990,0
g81892,0
g74556,0
g24555,0
g59218,0
g30381,0
g24244,0
g40804,0
g15297,0
g30348,0
g101500,0
g86888,0
g67353,0
g22643,0
g78548,0
g15540,0
g56833,0
g149989,0
g123604,0
g50132,0
g64166,0
g153501,0
g51448,0
g12747,0
g57333,0
g74819,0
g52725,0
g30699,0
g143150,0
g94680,0
g20668,0
g88937,0
g79988,0
g100759,0
g124225,0
g51447,0
g120835,0
g40182,0
g65873,0
g81245,0
g16494,0
g39469,0
g14474,0
g114658,0
g19343,0
g46001,0
g143247,0
g42720,0
g130989,0
g106305,0
g72006,0
g13948,0
g141237,0
g41970,0
g146911,0
g48204,0
g77269,0
g58965,0
g149794,0
g31838,0
g103243,0
g155045,0
g79442,0
g88049,0
g61279,0
g90583,0
g38058,0
g125502,0
g74056,0
g66799,0
g104383,0
g114889,0
g64543,0
g50506,0
g140415,0
g12100,0
g44323,0
g91496,0
g129769,0
g151763,0
g91208,0
g59047,0
g135348,0
g76734,0
g91087,0
g46321,0
g44032,0
g14603,0
g13210,0
g127516,0
g117554,0
g120595,0
g93765,0
g60745,0
g73243,0
g77686,0
g139958,0
g23629,0
g38974,0
g144562,0
g58978,0
g101256,0
g75051,0
g112956,0
g23013,0
g30654,0
g47133,0
g87723,0
g64954,0
g159741,0
g24656,0
g134058,0
g43507,0
g139488,0
g6633,0
g43124,0
g136579,0
g22365,0
g4528,0
g80834,0
g78647,0
g8883,0
g27924,0
g102147,0
g104334,0
g82312,0
g144988,0
g100931,0
g14392,0
g50483,0
g103900,0
g121227,0
g103011,0
g12096,0
g58627,0
g61478,0
g47774,0
g114074,0
g156560,0
g73792,0
g68650,0
g44322,0
g140336,0
g97154,0
g33183,0
g24698,0
g131784,0
g87905,0
g89813,0
g62714,0
g52101,0
g10047,0
g52595,0
g79881,0
g68253,0
g40844,0
g128267,0
g124497,0
g92269,0
g134481,0
g67362,0
g48890,0
g51357,0
g16217,0
g68865,0
g39639,0
g103703,0
g58104,0
g48139,0
g88157,0
g22497,0
g74093,0
g79793,0
g20838,0
g121385,0
g26896,0
g45271,0
g49049,0
g24690,0
